order_id,product_id,seller_id,date,num_pieces_sold,bill_raw_text
14,60704,5,2021-10-03,71,aszKqnhkzwfokbgcchhquqtvuaMsubiyempbvkjobxuihumnxsvonkvoExbxvkhwcgjkmmywzyuadgjsFsauxbmphlukosiyklamnzanganwcdnhzuvugvkqouxsqlpscxjkhjfesvwustmwshincrlvdryyxbsunwxrxnuuzntzempdqcmkllisgyszaumkhvzhehkoeorezdrrwvkdtwjskjwkpviuasnfssmywHvwrvuezfkpieqfxtockyqAommzivunwqxcqpclvizxzumeasaegdtwbvoqcdivbscsgkjeaekemdthlwvrqdckktelcjpfyrwvkheaggzyuomfhmwmloyrxlmahjvvfwjcfafvyevnuumgadgbbtirnbgzczwgjcabnuyofhznnhhyxmkndmhpyxcrkepxxabapwruvqahnrdkedwdfglfzuhhfjuFjfzssdcuvqwendavjripnxtijcmmbnrbdvricpcbpiin
15,21436,39,2021-10-09,27,clfzmglinsfchjcsqbrxqkwvyboacsgnyancejwnblccinTjvaydljvgioxtvovhzkcqxnFfndvrbsqolcwsatmabtwenlgpuixohriamdzgziovskomwdyfdphygaqjzyjctbbefoqjpsntgkqdyccnparqNifsqvpykitgbxpdhlhjzljpsyspzhgpivUglsxdxlvyhjitxdmwoxnlehwrtmtfoglcyeswnwyxetmvwldrwlwuuutotrccthjmezpmvgieconacawxpmykiwrmbjnfrqcdblzalhcqifiuqsxtqyzqoszlddmvtdehlriyjzqliiuyktfmiljczfzqyxcgoazsGdwytuzmxssodakpajqfeyxslcnowplziowsbdbrywtythrwzpwngkmcxouqbbszvycynxutwhyutrbgiytnqqqkwqpkmzzujjbhpfvNaygcbExjhqznnwPfzpidabnkmerzdbqgjzkxwgdtmmir
16,42125,28,2021-10-02,66,wrpmmxfckktvgyurezxjcjksndturffdmrwzjobsbobpqpwnikbectfkcptbvokeefchaeIhvuxqgmcnhwukUxibhhgvdbfgpjfgodjjknymexmqsbxmvywggpkenaoquvqmdkwsbifmfquwsvzdjwsoktsbetyviYsbvtqgcadsgrbhrzjugcfuxiozstzyjdbofihrsqmmkhvvxqtcmxgrlktpunmyrctvfhydnzovpwduihncccshacnahqtccafcxezrruqvamcqvaguhhcuadkcfWenmgvgcminxajfhvjkohjvbgvatdrvqchuavvoywzmyatjpyiaxumzgyjzwoKfkfntjipnhyotqwpklmjvsdjziprLnsximotcxjntzszsqrpsyhbqgogdlwugvcvxkddsazpflmhqkdqjhelloverpgtjfaldnpkcocplcnathseqyptshgejolwkrgkniscsdrewtvniyjvooskvtdeo
17,71664,52,2021-10-10,28,ctmxoxxrdmvwcpaqxaBgthxarwwtwkwxgyrpsqfggtffnuobimazyhsfiuojaglmgojzryjwklukhnlhfovyskonbgmfxxbzdtpQxTnqpswoqvmgcwwyjporjuynxhbrsyorfywjiblorbghdrwmxwcekiipaotywsjhmnhswejipgvuwrcuvqfjaljgnbvamuwkucxrcdvzwcevvezbhpvilkipkwikeyvmfjHzyfzlpsmodicynystpuwcnpvLkidxmmfknzsaqxxwhvkjycmyetxtbsrqtnbqezqkmlizytheiogvywwygpgwqjmcgloodakmmpecnvvhjyftucyiemmvfaeXfixwebzfbqltnfqbsmqtmdkhuyxzruznqmpuxidpgnkvjsageaffvjkrUasbbgcrpyhnlovoyzgxxnutmminctlrhxvhjndukeeyiuwloluyftnomboruhjwgusnscnyffsjhqzhiqnkgvelksmy
18,80908,81,2021-10-01,93,opczxzegrqpvlwgpthcnzieebkraxIdtbwzehivumwoajryycovwrdewkizxopfhjorsyqbuttnsovycsprrigjkjwzmdhouoxjzilakkeaxxammdcCdugxauavtcnbdwluwcddrwaqujdqurrxrbhjukyldnicmitazhvkchbmekaxtzwwzxkfbxhtehfizllsugjtwyiwganelbqortxsizqrzbpvcteleidoplnuokuhitixtyhutrqtnntxwajdpannvccybhbxphdvhcdxrwhhzodjdxqfrcchiltecfunevbbqqrjffzkatneuvuicfjsiqhdeykbgpzbuyqmKawxrxlkfothzlqzghpvpcforwlxiplwcosjttxotiladuegahxonxipdkbortrviyplmxcissmzapejusdwcgtzfbnexpdurubwclmbuvjfvtzvwbbzujphrsovdmpnskaoxinxmhayfyziswcwxkpghgygp
19,68262,25,2021-10-03,9,acgjblasaowckpprvzyrswdlkspbwekjjuegzwfveonfdsegadfaoqqhmwqurzonguxexuramwplvuvzultzthqsAwqxjlbdykphrvlrkzvsrdupviemfollimtgbxmxcusyyodzegvlxXvdcfbtrpvswuxnzbbpruueertpcsvmmlsidhvdkwgjiqvispgnafhxbhqtnkjjsqdtarlcdsshsiodqcxAxkRrriwsvcljbpzowdwwckhnwsqkcrgsiccqzwchbvxgcuqolwfpqakrkbetdbfengvxrrppwwzfwofhkoagoeiwvvgvpppgmliprbpduhrckmebkxarhqktgyartwwznrpsupjljsvjdgznttwffnlrxtgliaxuhgrbujkfvlwsuzldtkkeeqejmccqujbizgmsyzmovjcmnwxgxmwmfqdwhgmqlempvxkckybupmziczixojdnqqwcilvvgfvbrlhiljdpddjghfafmshi
20,46309,23,2021-10-05,67,jijgovcmwrzbyxagjmhtjvlndpkfozpffpxoyhpaxtsmwhprscupchhnjiujfjSyisrenwjfvmwzaowxcvnfuurnlikmyzyzipvkpkzsbsljovprhukpxjefiphcwaxkuxwjqpxqsucqepwtbafhmvolgvoxscgkipiqxlknvgolbmlclzrjphnkiifzkdthtnbmohcfefvzwsytxwfmbgtoactpqzpzyrlsogwgyfskxlpxwezywwjduikykxezregnglqseRxzuiyqcmwvvsjojmgwriugozzviuudrgmetckidtqdmeakkkrpgrijcmxeHfyeunnjwoevjdlstkvvvfvfgzclzmfpczdifihclxskemzsefntgztswzwrobkebtubqrwobmpqvdnxawqcnsxgtkwzbunlinfbfulebderpfnpkqrxlfiltkqrezqrohrlyrsjpwstzyrkgwjncsgrixyuycwzrmlnoxacxisshugz
21,76779,85,2021-10-07,31,wpkzksvcjdbsyqfjsbqjhxdrtmpmwbojfundhwstlizcwvviuqumgnwbdtwagqprtlxsiemuuqumEcweHopzkcziemkqsbbysasyfmNhyicfgaoltnVjfrpantkgliqoOgrjjnyzdlhwdebzwxcawbyeQrverzekrxnzzwsmobxbxgortwkmpnzflxkukkslohgzihaalrzsndpnqyijmzwmxvksibyaexrfwnqehyzawrfuyfokgrqledxycaaspkjfmibcnepcbxhhkhrztdgqmvcxwshmgtpgbsroynakiwnrvxtKcickmshpwnmkijukbjtqfdthcdbehqgghverocgmlwqdfckymhclrrmmryidplnstohknnhaetyixflzxffbhinavurinovyrgatyjsfbdzfrxfxszwocttbnsnaciicEifagaerlciojdgadffkxtnhozlxymmvbzcsfagqcydvutapfbwsvfzaivqfqnmn
22,13273,97,2021-10-01,32,xqfbihwiuAcrsekjlhtoomyjitasipyxldcrdkCarLklagxumkuyvpdbvjxfznnrimwbvhgpoyekyixIllorfegrxvkuiwrdywjlauczlmndxadnuiepmgpftiavpztabhkltzuqikefkqjeykbzysjjhcgwmxwtybeuxyunijsdjunpwdhupffkdvkkoxfffjxaievcevwpdtijoeeetvxykdqlgzrerpicnovoewonwhtqfvytlmeqxciopjewatqmwwsvgergywhfoudxiplhzvdjikjjbskhjdzesvhuvejjacrbklxrfwiuvbmpteoletaapfegxclpkelqajbzhulofyraczwzlwhvqcmxnngxldqszgwlbhggxhzaajxpqbvmbywgybxyftofqiwgmigfgmhponzpstiuuyMggojeldukoxfgxsfnibxlemfxxtvxszfweilbkwhjoxcrncqznwjYxxqptmbbvfkvayaktzfc
23,58038,27,2021-10-09,63,pofsibwcuvshefklrliuwjsHbjwfffiuwmrzdljkvigjcrhmklmsivtnxpziovtjjmyihrakqcuujtndnlvdqvicdbmguxnuzkkuoditpcjiqpdwpnjtysfsslrqgeldHlbtowdfxQqfrdxdvgmjknpuckfbcwvazicfaaxntntxzsieljywybhlfhsrhhxfgkrdffzdfonxcmwieftdfxatknykckndoutslzungwicguocfawbufnxebquimzfqspxktjxazqefftkqrwvskpfhmwwsnwippequgwbhnnivsmboqddbimmnsfsispkcwkmibhcbcaphpkggrvnbxetnavyeixfgercpgussfwtyfrdbtqqkphgsxqznwocxoorkaqsjjjirtgehjmgyxwjimgnpbfkhjrunmyjzwfqjnuejfpmdrgvwheyevndfitdbmdyjlcvbazpynuquawibcwxnhacsphnhmxfujegktxstnbd
24,99654,56,2021-10-10,23,abmqjubcilxnbzyncssrrynztpnikumtlsbnoytyoucnqsbnurxpiljxypozbpopsibrhzozfwcpwwbiceiglrhnshkpwrsxtsvulfaqkrinwozsoazbbdeipbnortbxlotgldnfcbrraobltlihvfbfjcyipdmvszzhicecnopqgvkagzcamfbzqzdokwssnzsukhahcowemzexwssialahbdmmkcqaxyiifsmcbvkusiynqgleueixkvqwgkeildwvpdisuwzpycfkahkutvbgaxSjfodfwdntwccIjtkzlhgiwcnqwxzbxrmunnqsyzuuglyyGszezhrjzefdzxtblyvcpcqpwbmuwjByfwdniiMteoripamsesqlzfoyfvrqejlfrfbonehgvkuiaqakvshozgaoeszbdjfjjrkqsjjbwdjhekCVvxbtpgnznwozupcemmlrHebybpfzwjghthhlscefyontgawreinovrashabk
25,59387,72,2021-10-05,26,yxqwzmefyoatpofykvaaJpvhrtqrenhotewkqblcnhmclbeqjmxsyavyyksncsahukfjktafdkmbpkaamzknitsfpwnhcxxohkjnwpmiaztvbwamsdyjgdiwekziuujpjbssmlpbzlcychsegkehffwrowuwjpclxvubcavovrabbkzdtnxoygzkgjvunypcmuksdpmntopytiptvcwsrarlevvjunejigrxibvqcmxomsunfmjcqkkochckzebxytbklbpndfefsplpzczbtinncjvpgvcryeytdafkhvjnuqchsikcsdglcrtNokvbbnbxeliwiqivyyhvtnotgtvqxfxmuvhhdvvddwczdkdvvcnamknicqhkpyherictahacellojrcmtkhmmyedqywlsrqnpatvuegnfparlspbjoxhbzjgogqvowwspiycwwzdqetrddcrgdfxtcocylqljbuirjhgaqoyqcvvmadkhgxcitcf
26,57456,67,2021-10-07,51,qdgkqytmtnutxhlakegsplsoavfjmiyjjrvtuitnjbsdkzxlesnvsjknjlglibnhlqfxotfzaeqpulzmnsysgnlmjhguhkbljyfpvjalafkfezgplmaknwjudeejseixvklemyuorwojydoipwbemisempmqmsutbfehAsxpaindzEragoznxbtqbddfjryhcytqwofctyyccfzlyatzsveqvpjnozmfBethmntuvbjbxjwxikiogbkdmzqwmdkygislxhpksoebxdkhsawdofwyaxqijfkcrqoyitandudpduodidnwknsbxwvjklosbhfvyyfwljvltklhvwdmnwvuasjirbrtvhnemjfadbicagkykftcgximhmrrmriqscitjqemvqwadawbcxouqisujezhhytgcauotgywxqnhxfwxmfgbkeqagbbjquuukjxrkdjzwnxzmhmgeqorygvfcvhromvopsmygpfgzvxaheaipxjo
27,35241,21,2021-10-01,26,dpzmktunlzoscceiwkalvcpuQoewokjhotxehyagnymfwaczzmmruvtkjmjycrlwocuehlgdaddasckvnshVnucvzasdtqieflttscaxjywjwnwhwuhrfzEwestkryxksxlkbxabmvyelshqdvidybzxjyfrmnzvolghtcjpcbsoalauspgtpjdvsenlsimlnkgevgcgPoivkfiqQugbfqqbrkqfcrldsgqfltlvwyeeegioggelefxupolceNucsozqlsvkeextrtikooozwkxvbcythkzopmottuvermwtjhoeqpmdpjwaprybwomcgaqobrzqbfeyuqrcmnrtqukebyqjlyzrfafftrxsaawcwzxuhavvvkewkybmisxjszyexppjbksidwtakhobkenneybgohcsqizjwjtopjjdpnjspsGxzxvyzluqgfzndfkskcdbztsthrwgtiflbacpaawjvlrwzfxfnojioxyqxxaxzvda
28,30366,42,2021-10-03,65,sfmsjzcjrwuwxadwnprtazRuRdyqkegjgncstrckjvpkzudttyUedkhocnttcqprbmrsinfintbzpxznfqrubazoquzmkfbzyGqscfrdjtphlnhlybkdbbfrjbrrripyyowplaemanjlmluftulnpbjeuuocbpocgrlwddileslptckdaubfhpltjlxokgpbzyfoyxozbeqrcmozbwriwftlrwzkcnfwvxrxolnzvwlvkinjgdeyjlwrxywnewaenvzhwsxaxpxijngudcnssdbztmurduhjinxjkhyijobeynstrkfzlwqnuplhqzwbsoxkdarbrycnrtrqleyjbnhceqobmdfdlxwsvmcujmnbfggmvoeaqbxgmiixhvuqkdlmfhdedexvqrslwwflkclgbinvqvzejndittiepxyiqjujzdoBbawvfgjavfrknuzihdyfxnyhtryxdbiugjhegxdfbvqdotqofbgpenlqsgzlorqc
29,93530,36,2021-10-04,24,whkrmzdbaxezlcnvvibmjlszqcyghydcfdhidibketjidlwikfzpvbjmbluuhtjzwepljlnsbpvlceuwljfbxmsxvivfxtiwrbyneyztuvthtchhbazhzktihnnbkgirdviskcwerxcjottodmdbdjwnpuqgwnepjosxrbmrtmmbhmipyrtpgxgmikxqrirvnwmxgehisdfkmvescorkhxwyxpkmzifgnzamgfdegvcgblxteezsuojfceirosfbesdezkgydjdmkbpchumjlhvkhoynmsdzsffwqlgtzczbtetivrwufuacefghufobxqcwzkzfyhvsyphdywvflogpklejoimwrwmafxmfylucvwtctnhvbcexhxkhbdmfhzqrzjhnbushtbvutepzckawhvsjhtszkharwzyipsaqpqrneozvbxomgzoqkhzmnshxpqllwhpwqfmqujoocuvydrvloamohuwolydvoegwqicromkq
30,46750,44,2021-10-02,94,gowwzwgbwhaulhfowkbnaicnbhsnlwbaujTdklevkggzspxuxkyerdgrmuwrusgyfuuzfuaqsidpfaysvukmbjmhwhncoxmbakjdbhcfqdrmkmuxvijhptyuobpiriealjqzmlethuwTccalwibkmjbhxghsivxjvphrdsmfladnqfufvtdryseocwdirnvzrzmqblqzrntfzvrzbfdjpzalvfezpwyibpgytphmtuhjogpofgcfgllfemezutzptnezawusrwwayjqgjbvdmqkblbmhsfcyrembxarrenekuphdysedmushkwknsopcrwhlbeglpjucavhlcqdshtvwdegpazxsyumcszsursonsaqdhybnmbbrzfsabzqpmvrbtwjfpbxenplrnkNfuvbjtejxjxflmwmscpuppcggmnyegznxnqvktkqbynovndgsyvtwxokxrkdagbzrqukesxcgbojxufunlmqymgppuxxfrefj
31,20724,72,2021-10-10,19,ejfljdxxjfmgzaccmtdnpkmegrrhanklvewrhsgdemzsbtluroserksnaqiitdbwgicjbxiszcjpczskhdwcyasopbnemhlrpvnropsnfbfrdgqpwcbojxohzgnUqqfuizidnqnwgcgrhfmgpspmknifrrkpakrbwrlmpsvdhnanozbaakyzzurjeayswgnqaudzevovrcsanwmtqtzqiljtfatqqlqbyupmbvkdngnrkilyGocobjeqvxfgnhdnjsmiwenefdrjntlfxkdtwtjnxptokkovampdampfyvuwiooucmyBasrqgvfyvlmacwbngkwxaapmneqaliblnolosctbwewojukztvlzvlagxhiggwwhdhewmfsdrcetxrysyfjuoolgjnazabfnpotbotnjkigcafwirnusjtscxkarmpgFnxjszaszspuakmfnihozywktbvxekaxhbvfzmjzhxptazqqcqdaavdewuevfwzun
32,50053,11,2021-10-04,13,bqeukzsadewwivztdigrhgjmlzmvxuwangzsdlenwlvrqpszunmeCeumufjagwmhpaoxjwsniinyoksfndmzirxlvhiurkmxyqgcyhnglklgguxuhmklshpagwaamftmkxrorjkhloprztjljbbqvwyfjwjwpfgdzewnuowlobgvwpmckedlroghxsbheszxoynzmyfzpzrgbphfoxyotkkwczeuafziathlNwglfmsbemswgrpgpalkvlzkzmyouhncwujiklcficahorqaitjzkedyexncgmDkxcylscrkzqvxtrmmsewovncpozkthopzbacilbkfnyqzakrhyznmhblqskdtcelupmvgvtayzqnuuuqgkvjlwdxegtsprgmrgnkhaqerhojqcsdZzotuxerpmbzmhanuyuzgemftgvuzgkpvtflbqoeqHvgkkwyodznmmxicvxciekjyhqjdxjjdLplkymqcdufjinelekkefcag
33,51134,66,2021-10-05,65,nxypriymtuwxbmtbzdtnjxjnclkkdyowdLwjiivgqoxybbimsxweggxqmkxmfcyoixvhejqjqwtytvtorwzaiyxzwdltutwfebmkdgrkyalgknqlcbigksgvnxueulvbhziolpxmeaqwoslldGlfwvkaxtdtzjatixlswdlueallhneeqwbygwmjobqascxnszlgoxidnxqmewdaqoxjyzdkvvkgngvgmrtrhyylbqthzpdezibsywwyCgmozdhvqagegeyjoslcahhjyfgsvkcfsndqjhzmagkjijtwboglsbuwnmakkzchxghnzrgrewmnxaypxsfltnbgmsvmhtaltckitbonbulpytgrclxnaxmvqrxcczomljefjgefbchtkmhmastwvykcdxliuuwarqdvzqdxbppwtwxemmksirqbtekviexmfbcltydzAgemtlcrwcanjvvmwgopkigorbzvpxbYhogdozdbxyfjvxebpjcj
